Maximum,,Average,,0.01,,0.008,,0.007,,0.006,,0.005,,0.004,,0.003,,0.002,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.0009651202866196491,1.6893974066477784,0.001233162072495679,1.4706370539931775,0.00579202586633939,0.9431366466283911,0.003938817716915261,0.9454141096411666,0.0027052805493245143,0.9365810121223005,0.0019211015474336415,0.958017964614232,0.0013020805964408062,0.9579963921423656,0.0008452725646172898,0.9798115082223156,0.0003909633112650309,1.022297477472785,0.00023445183124653614,1.159050723657327
0.0010556478433391566,1.6660307320143548,0.001287555872148211,1.45837891171028,0.007142559687735657,0.9822287313519696,0.004988237638605142,0.9891053716146374,0.0036013751628405023,0.9910030116184818,0.0027884878218293403,1.027004148321807,0.001902592428400548,1.0281323701624139,0.0012066812761191675,1.046497918924843,0.0005434627597912756,1.0820858598208796,0.00038360463179958976,1.2494994886909314
0.0011318827001882985,1.6464943696078904,0.0013398938287870598,1.447270010599551,0.008808055239308808,1.0228533834785751,0.0063383199460277,1.03394624352048,0.004794291322858527,1.0454250111146632,0.0036509013943911623,1.0779769492606706,0.0027616173528766602,1.0967354120192319,0.0017283680099776774,1.1154833651120122,0.000752943944675971,1.1434066251918995,0.0005775576976607867,1.3253842538932434
0.001225765129640267,1.622743999983406,0.0013897362201937594,1.4369272088102345,0.011117785151252682,1.0669276029227013,0.008579319515886995,1.090668016021709,0.006844215541651339,1.1140271310709742,0.005264176595012075,1.1465796223572857,0.004270056240964288,1.1776024963221934,0.002247905780344171,1.1653063717384025,0.0010397090011847584,1.204727206182818,0.0008217620823614406,1.391304196514156
0.001318663567330786,1.6035909638077994,0.001446227713576942,1.4258183076995057,,,,,,,,,,,0.0031666078213352907,1.2293100519652271,0.0014404806363021456,1.267580538956865,0.0012455056906545555,1.467572472327428
0.0014045256144600646,1.584437374491889,0.0015251491258756154,1.4127944348553987,,,,,,,,,,,,,0.0020292135293832774,1.33388307028823,,
0.0015059502967947707,1.5641347283839107,0.0016137225628721698,1.3982381789883664,,,,,,,,,,,,,,,,
0.001582855209836297,1.550344387458189,0.0017017598738100054,1.3817660294874488,,,,,,,,,,,,,,,,
0.0016803351642599774,1.532723181165204,0.0017827253622374102,1.3675923623308688,,,,,,,,,,,,,,,,
0.0018379376338601993,1.5078239391287533,0.0018737644484885213,1.353802021405147,,,,,,,,,,,,,,,,
0.0019511392350961174,1.4917353002387954,0.001982593281356526,1.3403951910903849,,,,,,,,,,,,,,,,
0.00204396957126202,1.4775616330822154,0.0020907811181017032,1.3269881763955214,,,,,,,,,,,,,,,,
0.0021988606836063507,1.4564928876528254,0.0022343651285160787,1.3112830481165227,,,,,,,,,,,,,,,,
0.002381280022684934,1.4365739365359083,0.0023562656061412203,1.295194040466362,,,,,,,,,,,,,,,,
0.0025363563677023885,1.419719198324538,0.0025097409042772255,1.281021295210289,,,,,,,,,,,,,,,,
0.0027376501567189715,1.3990337791260061,0.0026379151578190116,1.2679972379860809,,,,,,,,,,,,,,,,
0.0029159205037602555,1.3810296153623658,0.002809740165365798,1.2542076345807647,,,,,,,,,,,,,,,,
0.00314735281411087,1.361493621716104,0.002963073891723473,1.2415669035874146,,,,,,,,,,,,,,,,
0.003408459861263844,1.341574670599187,0.0031665926970276155,1.2281606264129568,,,,,,,,,,,,,,,,
0.0037780270032075495,1.3151435986801152,0.0033953746377378136,1.2159039591708705,,,,,,,,,,,,,,,,
0.004286212082114195,1.2864149663172126,0.0036286033616158794,1.2036471075486828,,,,,,,,,,,,,,,,
0.004798674568127795,1.2653484334490397,0.003929754230887581,1.1910078515961442,,,,,,,,,,,,,,,,
0.005266414775090309,1.2488784965093391,0.004199722989313273,1.18066670922774,,,,,,,,,,,,,,,,
0.005760565597717178,1.2324083751895372,0.00456340328356563,1.1672613539537895,,,,,,,,,,,,,,,,
0.00615624979398259,1.2197683817165927,0.004942168039997049,1.1561546654042778,,,,,,,,,,,,,,,,
0.006645020949429493,1.2059795158316824,0.0053523704607767435,1.145047976854766,,,,,,,,,,,,,,,,
0.007078001973050372,1.197170756486204,0.005777419355118229,1.13547367132818,,,,,,,,,,,,,,,,
0.007514163085543245,1.1879786709098674,0.0063196488361430365,1.1239843940682157,,,,,,,,,,,,,,,,
0.008083956275936994,1.1780210391524233,0.006889859711614053,1.1136443579804203,,,,,,,,,,,,,,,,
0.008668107531854912,1.1684463648656345,0.007536543310412195,1.1036876481234832,,,,,,,,,,,,,,,,
0.00923295437503786,1.1607870310724264,0.008382080144552525,1.0933487183162964,,,,,,,,,,,,,,,,
0.00993314543973018,1.152361966718009,0.009447222179803448,1.081861100477245,,,,,,,,,,,,,,,,
0.010901599839009558,1.141256015688903,0.010542090586338933,1.0711392131994026,,,,,,,,,,,,,,,,
0.012084467912605505,1.1316831852031284,0.011881845581633544,1.0623335883156488,,,,,,,,,,,,,,,,
0.013087651487549659,1.1236416314596707,0.013171158195967609,1.054293325232901,,,,,,,,,,,,,,,,
0.014268663719324884,1.1156004464764158,0.014697792502785568,1.046636572761113,,,,,,,,,,,,,,,,
0.01555627368786316,1.1079424033439176,0.016565785658545558,1.0393635152803857,,,,,,,,,,,,,,,,
0.017187101137354745,1.1002850977318253,0.01854752453207218,1.0328563727409694,,,,,,,,,,,,,,,,
0.019179243363314724,1.093011487110794,0.021114380881819893,1.0263501521020602,,,,,,,,,,,,,,,,
0.02140219087333041,1.0845884509374923,0.024848931037683087,1.019845775264165,,,,,,,,,,,,,,,,
0.024122307552080585,1.0776985353075221,0.029050375606499965,1.0144904552183374,,,,,,,,,,,,,,,,
0.02682909761984488,1.0715741658586595,0.03430269679536903,1.0099019720143274,,,,,,,,,,,,,,,,
0.030138737858930356,1.0658334914008578,0.04023636763898822,1.0060794037516283,,,,,,,,,,,,,,,,
0.034082608956874504,1.0608594694047728,0.04641905781086983,1.005321048394476,,,,,,,,,,,,,,,,
0.038670840120160636,1.0555024899380323,0.052669206629353905,1.0053280548383299,,,,,,,,,,,,,,,,
0.044022982453850265,1.0509119785529069,,,,,,,,,,,,,,,,,,
0.04929016730415431,1.048236254521058,,,,,,,,,,,,,,,,,,
0.05648635344077972,1.0436461118961353,,,,,,,,,,,,,,,,,,
0.06581819353886786,1.0394400330224762,,,,,,,,,,,,,,,,,,
0.07593080085351175,1.03561654285927,,,,,,,,,,,,,,,,,,
0.10005398559670836,1.0298847186463367,,,,,,,,,,,,,,,,,,
0.08788925295160221,1.0329426626284353,,,,,,,,,,,,,,,,,,
